service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
9010201_9__1__013_,0,0,0,0,0,1,0,2025-09-13,2026-10-11
9010202_9__1__013_,0,0,0,0,0,1,0,2025-09-13,2026-10-11
9010301_9__1__013_,0,0,0,0,0,0,1,2025-09-14,2026-10-12
9010101_9__1__013_,1,1,1,1,1,0,0,2025-09-15,2026-10-13
9010102_9__1__013_,1,1,1,1,1,0,0,2025-09-15,2026-10-13
9010103_9__1__013_,1,1,1,1,1,0,0,2025-09-15,2026-10-13
9040102_9__1__013_,1,1,1,1,1,0,0,2025-09-15,2026-10-13
9020201_9__2__013_,0,0,0,0,0,1,0,2025-09-13,2026-10-11
9020202_9__2__013_,0,0,0,0,0,1,0,2025-09-13,2026-10-11
9030201_9__2__013_,0,0,0,0,0,1,0,2025-09-13,2026-10-11
9050201_9__2__013_,0,0,0,0,0,1,0,2025-09-13,2026-10-11
9020301_9__2__013_,0,0,0,0,0,0,1,2025-09-14,2026-10-12
9020302_9__2__013_,0,0,0,0,0,0,1,2025-09-14,2026-10-12
9050301_9__2__013_,0,0,0,0,0,0,1,2025-09-14,2026-10-12
9020101_9__2__013_,1,1,1,1,1,0,0,2025-09-15,2026-10-13
9020102_9__2__013_,1,1,1,1,1,0,0,2025-09-15,2026-10-13
9020103_9__2__013_,1,1,1,1,1,0,0,2025-09-15,2026-10-13
9030201_9__3__013_,0,0,0,0,0,1,0,2025-09-13,2026-10-11
9030202_9__3__013_,0,0,0,0,0,1,0,2025-09-13,2026-10-11
9030301_9__3__013_,0,0,0,0,0,0,1,2025-09-14,2026-10-12
9030101_9__3__013_,1,1,1,1,1,0,0,2025-09-15,2026-10-13
9030102_9__3__013_,1,1,1,1,1,0,0,2025-09-15,2026-10-13
9040201_9__4__013_,0,0,0,0,0,1,0,2025-09-13,2026-10-11
9040202_9__4__013_,0,0,0,0,0,1,0,2025-09-13,2026-10-11
9040301_9__4__013_,0,0,0,0,0,0,1,2025-09-14,2026-10-12
9040302_9__4__013_,0,0,0,0,0,0,1,2025-09-14,2026-10-12
9040101_9__4__013_,1,1,1,1,1,0,0,2025-09-15,2026-10-13
9040102_9__4__013_,1,1,1,1,1,0,0,2025-09-15,2026-10-13
9040103_9__4__013_,1,1,1,1,1,0,0,2025-09-15,2026-10-13
9050201_9__5__013_,0,0,0,0,0,1,0,2025-09-13,2026-10-11
9050301_9__5__013_,0,0,0,0,0,0,1,2025-09-14,2026-10-12
9050101_9__5__013_,1,1,1,1,1,0,0,2025-09-15,2026-10-13
942101_8__421___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942102_8__421___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942103_8__421___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942104_8__421___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942105_8__421___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942106_8__421___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942109_8__421___,0,0,0,0,0,1,0,2025-09-06,2026-09-27
942110_8__421___,0,0,0,0,0,1,0,2025-09-06,2026-09-27
942111_8__421___,0,0,0,0,0,1,0,2025-09-06,2026-09-27
942107_8__421___,0,0,0,0,0,0,1,2025-09-07,2026-09-28
942108_8__421___,0,0,0,0,0,0,1,2025-09-07,2026-09-28
940110_8__422___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942201_8__422___,1,1,1,1,1,1,1,2025-09-03,2026-10-03
942202_8__422___,1,1,1,1,1,1,1,2025-09-03,2026-10-03
942203_8__422___,1,1,1,1,1,1,1,2025-09-03,2026-10-03
942204_8__422___,1,1,1,1,1,1,0,2025-09-03,2026-10-03
942205_8__422___,1,1,1,1,1,1,0,2025-09-03,2026-10-03
942216_8__422___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942217_8__422___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942218_8__422___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942219_8__422___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942220_8__422___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942221_8__422___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942223_8__422___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942224_8__422___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942225_8__422___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942301_8__423___,1,1,1,1,1,1,1,2025-09-03,2026-10-03
942302_8__423___,1,1,1,1,1,1,1,2025-09-03,2026-10-03
942303_8__423___,1,1,1,1,1,1,1,2025-09-03,2026-10-03
942304_8__423___,1,1,1,1,1,1,1,2025-09-03,2026-10-03
942305_8__423___,1,1,1,1,1,1,1,2025-09-03,2026-10-03
942306_8__423___,1,1,1,1,1,1,1,2025-09-03,2026-10-03
942307_8__423___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942308_8__423___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942309_8__423___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942310_8__423___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942311_8__423___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942312_8__423___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942313_8__423___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942314_8__423___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942401_8__424___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942402_8__424___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942403_8__424___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942404_8__424___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942405_8__424___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942406_8__424___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942439_8__424___,0,0,0,0,0,1,1,2025-09-06,2026-09-28
942440_8__424___,0,0,0,0,0,1,1,2025-09-06,2026-09-28
942511_8__425___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942503_8__425___,0,0,0,0,0,1,0,2025-09-06,2026-09-27
942504_8__425___,0,0,0,0,0,0,1,2025-09-07,2026-09-28
401705_8__426___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
401706_8__426___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
426101_8__426___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
426103_8__426___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
426105_8__426___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
999903_8__426___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
426601_8__426___,0,0,0,0,0,1,0,2025-09-06,2026-09-27
426701_8__426___,0,0,0,0,0,0,1,2025-09-07,2026-09-28
942711_8__427___,1,1,1,1,1,1,1,2025-09-03,2026-10-03
942712_8__427___,0,0,0,0,0,1,1,2025-09-06,2026-09-28
942801_8__428___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942802_8__428___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942803_8__428___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942804_8__428___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942805_8__428___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942806_8__428___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942807_8__428___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942860_8__428___,0,0,0,0,0,1,0,2025-09-06,2026-09-27
942861_8__428___,0,0,0,0,0,1,0,2025-09-06,2026-09-27
942862_8__428___,0,0,0,0,0,1,0,2025-09-06,2026-09-27
942863_8__428___,0,0,0,0,0,1,0,2025-09-06,2026-09-27
942864_8__428___,0,0,0,0,0,1,0,2025-09-06,2026-09-27
942868_8__428___,0,0,0,0,0,1,0,2025-09-06,2026-09-27
942869_8__428___,0,0,0,0,0,1,0,2025-09-06,2026-09-27
942870_8__428___,0,0,0,0,0,0,1,2025-09-07,2026-09-28
942871_8__428___,0,0,0,0,0,0,1,2025-09-07,2026-09-28
942872_8__428___,0,0,0,0,0,0,1,2025-09-07,2026-09-28
942873_8__428___,0,0,0,0,0,0,1,2025-09-07,2026-09-28
942874_8__428___,0,0,0,0,0,0,1,2025-09-07,2026-09-28
942875_8__428___,0,0,0,0,0,0,1,2025-09-07,2026-09-28
429101_8__429___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
942902_8__429___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
429601_8__429___,0,0,0,0,0,1,1,2025-09-06,2026-09-28
43001_8__430___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
43002_8__430___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
43003_8__430___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
43005_8__430___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
43007_8__430___,1,1,1,1,1,0,0,2025-09-03,2026-10-03
43011_8__430___,0,0,0,0,0,1,1,2025-09-06,2026-09-28
43013_8__430___,0,0,0,0,0,1,1,2025-09-06,2026-09-28
999903_8__430___,1,1,1,1,1,0,0,2025-09-08,2026-10-03
940109_8_N_401___,1,1,1,1,1,1,1,2025-09-03,2026-10-03
940110_8_N_401___,1,1,1,1,1,1,1,2025-09-03,2026-10-03
940209_8_N_402___,1,1,1,1,1,1,1,2025-09-03,2026-10-03
940210_8_N_402___,1,1,1,1,1,1,1,2025-09-03,2026-10-03
1210101_9__1__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1210102_9__1__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1210103_9__1__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1210201_9__1__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1220201_9__1__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1280203_9__1__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1210301_9__1__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
1220301_9__1__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
1280303_9__1__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
913101_9__1__040_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
913103_9__1__040_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
913105_9__1__040_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
13107_9__1__040_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
1220101_9__2__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1220102_9__2__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1220103_9__2__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1260103_9__2__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1280106_9__2__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1210201_9__2__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1220201_9__2__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1210301_9__2__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
1220301_9__2__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
1230101_9__3__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1230102_9__3__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1230103_9__3__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1230201_9__3__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1230202_9__3__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1230301_9__3__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
1230302_9__3__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
1260103_9__4__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1280104_9__4__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1280106_9__4__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1260103_9__5__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1260101_9__6__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1260102_9__6__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1260103_9__6__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1260104_9__6__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1280105_9__6__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1260201_9__6__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1260202_9__6__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1280201_9__6__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1280202_9__6__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1260301_9__6__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
1260302_9__6__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
1280301_9__6__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
1280302_9__6__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
1220103_9__7__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1260104_9__7__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1280101_9__7__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1280102_9__7__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1280103_9__7__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1280104_9__7__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1280105_9__7__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1280106_9__7__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1280107_9__7__161_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
1210201_9__7__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1220201_9__7__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1260201_9__7__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1260202_9__7__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1280201_9__7__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1280202_9__7__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1280203_9__7__161_,0,0,0,0,0,1,0,2025-09-06,2026-09-27
1210301_9__7__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
1220301_9__7__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
1260301_9__7__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
1260302_9__7__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
1280301_9__7__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
1280302_9__7__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
1280303_9__7__161_,0,0,0,0,0,0,1,2025-09-07,2026-09-28
113101_9__1_A_113_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
113103_9__1_A_113_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
113105_9__1_A_113_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
113601_9__1_A_113_,0,0,0,0,0,1,1,2025-09-06,2026-09-28
113603_9__1_A_113_,0,0,0,0,0,1,1,2025-09-06,2026-09-28
113605_9__1_A_113_,0,0,0,0,0,1,1,2025-09-06,2026-09-28
114101_9__1_B_113_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
114103_9__1_B_113_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
114105_9__1_B_113_,1,1,1,1,1,0,0,2025-09-03,2026-10-03
113601_9__1_B_113_,0,0,0,0,0,1,1,2025-09-06,2026-09-28
113603_9__1_B_113_,0,0,0,0,0,1,1,2025-09-06,2026-09-28
113605_9__1_B_113_,0,0,0,0,0,1,1,2025-09-06,2026-09-28
204_9__SE__161_,0,0,0,0,1,1,1,2025-09-05,2026-09-07
206_9__SE__161_,0,0,0,0,1,1,1,2025-09-05,2026-09-07
9999_8__260___,1,1,1,1,1,0,0,2025-09-09,2026-10-03
9999_8__261___,1,1,1,1,1,1,1,2025-09-05,2026-10-05
9999_8__312___,1,1,1,1,1,1,1,2025-09-05,2026-10-05
9999_8__312_A__,1,1,1,1,1,1,1,2025-09-05,2026-10-05
9999_8__313___,1,1,1,1,1,1,1,2025-09-05,2026-10-05
9999_8__320___,1,1,1,1,1,0,0,2025-09-05,2026-10-03
9999_8__321___,1,1,1,1,1,1,1,2025-09-05,2026-10-05
9999_8__322___,1,1,1,1,1,1,0,2025-09-05,2026-10-04
9999_8__326___,1,1,1,1,1,1,1,2025-09-05,2026-10-05
9999_8_N_303___,1,1,1,1,1,1,1,2025-09-05,2026-10-05
9999_9__1__014_,1,1,1,1,1,1,1,2025-09-05,2026-10-05
9999_9__2__014_,1,1,1,1,1,1,1,2025-09-05,2026-10-05
9999_9__4__014_,1,1,1,1,1,1,1,2025-09-05,2026-10-05
9999_8__171___,1,1,1,1,1,1,1,2025-09-17,2026-10-17
9999_9__8__134_,1,1,1,1,1,1,1,2025-09-17,2026-10-17
9999_8__640___,1,1,1,1,1,0,0,2025-09-18,2026-10-17
9999_8__640_A__,1,1,1,1,1,1,1,2025-09-18,2026-10-18
9999_8__645___,1,1,1,1,1,1,1,2025-09-18,2026-10-18
9999_8__660___,1,1,1,1,1,1,1,2025-09-18,2026-10-18
9999_8__661___,1,1,1,1,1,1,1,2025-09-18,2026-10-18
9999_8__661_A__,1,1,1,1,1,1,1,2025-09-18,2026-10-18
9999_8__662___,1,1,1,1,1,1,1,2025-09-18,2026-10-18
9999_8__664___,1,1,1,1,1,1,1,2025-09-18,2026-10-18
9999_8__665___,1,1,1,1,1,1,1,2025-09-18,2026-10-18
9999_8__666___,1,1,1,1,1,0,0,2025-09-18,2026-10-17
9999_8__667___,1,1,1,1,1,1,1,2025-09-18,2026-10-18
9999_8__669___,1,1,1,1,1,0,0,2025-09-18,2026-10-17
9999_8__669_A__,1,1,1,1,1,1,1,2025-09-18,2026-10-18
9999_8_N_604___,1,1,1,1,1,1,1,2025-09-18,2026-10-18
9999_9__1__131_,1,1,1,1,1,1,1,2025-09-18,2026-10-18
9999_9__2__131_,1,1,1,1,1,1,1,2025-09-18,2026-10-18
9999_9__3__054_,1,1,1,1,1,0,0,2025-09-18,2026-10-17
9999_9__4__131_,1,1,1,1,1,1,1,2025-09-18,2026-10-18
9999_8__191___,1,1,1,1,1,1,1,2025-09-16,2026-10-16
9999_8__191_A__,1,1,1,1,1,1,1,2025-09-16,2026-10-16
9999_8__191_B__,1,1,1,1,1,1,1,2025-09-16,2026-10-16
9999_8__191_C__,1,1,1,1,1,1,1,2025-09-16,2026-10-16
